Position_n,frame_i,Cell_ID,is_cell_dead,is_cell_excluded,x_centroid,y_centroid,editIDclicked_x,editIDclicked_y,editIDnewID,cell_cycle_stage,generation_num,relative_ID,relationship,emerg_frame_i,division_frame_i,is_history_known,corrected_assignment,cell_area_pxl,cell_vol_vox,cell_area_um2,cell_vol_fl
Position_14,0,6,FALSE,FALSE,471,349,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2031,62318.95816,10.6742658,23.74446118
Position_14,0,7,FALSE,FALSE,414,399,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3282,121211.1084,17.24910899,46.18325693
Position_14,0,8,FALSE,FALSE,207,618,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3628,159298.8683,19.06757082,60.69526682
Position_14,0,9,FALSE,FALSE,238,672,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2689,98798.90484,14.13249667,37.64387001
Position_15,0,1,FALSE,FALSE,205,109,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3464,151472.5058,18.20564094,57.71330489
Position_15,0,2,FALSE,FALSE,239,154,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2240,76671.38856,11.77270084,29.21295321
Position_15,0,3,FALSE,FALSE,230,283,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3187,130919.0781,16.74982034,49.88213954
Position_15,0,4,FALSE,FALSE,319,288,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,235,2601.908067,1.235082454,0.991366141
Position_15,0,5,FALSE,FALSE,357,298,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3548,148419.0155,18.64711722,56.54987913
Position_15,0,6,FALSE,FALSE,593,689,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3464,142779.5292,18.20564094,54.40114997
Position_15,0,7,FALSE,FALSE,589,751,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1865,55341.0202,9.80182458,21.08576177
